date,close,high,low,ma10,ma20,ma5,open,p_change,price_change,turnover,v_ma10,v_ma20,v_ma5,volume
2015-05-11,10.4,10.43,10.1,10.64,10.906,10.196,10.34,3.28,0.33,4.03,203250.38,295423.7,171326.8,180431.88
2015-05-12,10.81,10.96,10.36,10.574,10.893,10.248,10.45,3.94,0.41,5.26,192122.56,287985.93,175536.9,235354.41
2015-05-13,10.87,11.15,10.26,10.566,10.875,10.39,10.68,0.56,0.06,5.8,194612.76,283137.91,191827.83,259763.3
2015-05-14,10.76,10.99,10.7,10.551,10.883,10.582,10.85,-1.01,-0.11,3.97,194330.56,278005.01,193513.36,177931.59
2015-05-15,11.13,11.3,10.7,10.579,10.899,10.794,10.76,3.44,0.37,7.75,213005.1,281116.16,240093.2,346984.84
2015-05-18,11.65,11.77,11.0,10.62,10.941,11.044,11.1,4.67,0.52,11.54,239348.16,292504.36,307369.52,516813.47
2015-05-19,11.69,11.8,11.32,10.734,10.959,11.22,11.5,0.34,0.04,7.64,252108.86,279637.09,328680.82,341910.91
2015-05-20,11.65,12.32,11.55,10.883,10.964,11.376,11.65,-0.34,-0.04,8.31,271482.17,272715.58,351136.51,372041.72
2015-05-21,11.84,11.98,11.47,11.087,10.976,11.592,11.65,1.63,0.19,6.13,281996.7,264850.92,370480.05,274649.31
2015-05-22,12.38,12.4,11.73,11.318,11.032,11.842,12.0,4.56,0.54,8.53,308802.17,264806.36,377511.14,382140.31
2015-05-25,12.59,12.66,12.21,11.537,11.089,12.03,12.62,1.7,0.21,9.62,333825.14,268537.76,360280.76,430661.53
2015-05-26,13.16,13.56,12.31,11.772,11.173,12.324,12.6,4.53,0.57,10.9,359077.75,275600.16,389474.68,487880.53
2015-05-27,13.56,13.94,13.22,12.041,11.304,12.706,13.22,3.04,0.4,12.74,390138.83,292375.8,429141.16,570374.12
2015-05-28,12.2,13.68,12.2,12.185,11.368,12.778,13.57,-10.03,-1.36,10.9,421169.97,307750.26,471859.88,488242.91
2015-05-29,11.93,12.35,11.35,12.265,11.422,12.688,12.1,-2.21,-0.27,6.63,416147.74,314576.42,454784.34,296762.62
2015-06-01,12.67,12.75,11.9,12.367,11.494,12.704,12.07,6.2,0.74,5.42,388733.33,314040.75,417185.91,242669.38
2015-06-02,13.53,13.55,12.45,12.551,11.643,12.778,12.77,6.79,0.86,7.85,389710.41,320909.64,389946.14,351681.66
2015-06-03,13.24,13.6,12.7,12.71,11.797,12.714,13.54,-2.14,-0.29,6.54,381806.94,326644.56,334472.73,293007.06
2015-06-04,12.88,13.23,12.0,12.814,11.951,12.85,13.23,-2.72,-0.36,5.23,377743.4,329870.05,283626.92,234013.89
2015-06-05,13.35,13.47,12.86,12.911,12.115,13.134,13.01,3.65,0.47,8.07,375683.73,342242.95,296583.12,361543.59
2015-06-08,14.31,14.6,13.22,13.083,12.31,13.462,13.39,7.19,0.96,11.51,384166.91,358996.02,351147.91,515493.34
2015-06-09,14.09,14.31,13.71,13.176,12.474,13.574,14.25,-1.54,-0.22,7.92,370861.92,364969.84,351777.71,354830.66
2015-06-10,14.34,14.44,13.77,13.254,12.648,13.794,14.06,1.77,0.25,6.84,344463.78,367301.31,354454.83,306392.69
2015-06-11,15.05,15.23,14.23,13.539,12.862,14.228,14.3,4.95,0.71,7.74,330308.4,375739.18,376989.88,346689.12
2015-06-12,15.02,16.0,15.0,13.848,13.057,14.562,15.19,-0.2,-0.03,9.05,341174.88,378661.31,385766.64,405427.41
2015-06-15,15.36,15.97,14.73,14.117,13.242,14.772,15.05,2.26,0.34,8.8,356302.35,372517.84,361456.8,393944.12
2015-06-16,15.91,16.43,14.83,14.355,13.453,15.136,15.0,3.58,0.55,9.84,365177.58,377443.99,378577.45,440433.91
2015-06-17,15.9,16.8,15.52,14.621,13.666,15.448,15.59,-0.06,-0.01,11.76,388526.24,385166.59,422597.64,526493.62
2015-06-18,15.35,16.4,15.15,14.868,13.841,15.508,15.9,-3.64,-0.58,9.4,407240.43,392491.92,437490.99,421155.88
2015-06-19,13.94,15.3,13.94,14.927,13.919,15.292,14.9,-10.01,-1.55,5.36,395107.99,385395.86,404449.33,240219.12
2015-06-23,13.25,14.2,12.55,14.821,13.952,14.87,13.7,-4.95,-0.69,6.66,373395.57,378781.24,385334.33,298369.12
2015-06-24,13.75,13.8,12.97,14.787,13.982,14.438,13.35,3.85,0.51,4.97,360158.24,365510.08,341739.02,222457.36
2015-06-25,13.5,14.32,13.2,14.703,13.979,13.958,13.82,-1.6,-0.22,6.35,357972.77,351218.28,293347.91,284538.06
2015-06-26,12.08,13.0,12.08,14.406,13.973,13.304,13.0,-9.98,-1.34,4.62,343984.97,337146.69,250478.96,206811.12
2015-06-29,10.87,12.56,10.87,13.991,13.92,12.69,12.3,-10.02,-1.21,6.5,332567.15,336871.02,260684.98,291249.22
2015-06-30,11.38,11.47,9.78,13.593,13.855,12.316,10.45,4.69,0.51,6.86,323905.41,340103.88,262476.5,307326.72
2015-07-01,10.24,11.67,10.24,13.026,13.691,11.614,11.16,-10.02,-1.14,5.77,305683.39,335430.49,269627.76,258213.7
2015-07-02,9.22,10.24,9.22,12.358,13.49,10.758,9.86,-9.96,-1.02,5.76,278815.67,333670.95,264283.42,257816.36
2015-07-03,8.3,9.14,8.3,11.653,13.261,10.002,8.7,-9.98,-0.92,5.57,261629.95,334435.19,272780.95,249298.73
2015-07-06,7.47,9.12,7.47,11.006,12.967,9.322,9.12,-10.0,-0.83,7.64,271815.06,333461.53,282945.15,342070.25
2015-07-07,6.72,7.09,6.72,10.353,12.587,8.39,7.08,-10.04,-0.75,3.61,258133.59,315764.58,253790.69,161554.41
2015-07-08,6.05,6.05,6.05,9.583,12.185,7.552,6.05,-9.97,-0.67,0.54,238298.16,299228.2,206968.55,24103.0
2015-07-09,6.66,6.66,5.45,8.899,11.801,7.04,5.45,10.08,0.61,8.76,249059.89,303516.33,233836.36,392155.41
2015-07-10,7.33,7.33,6.85,8.424,11.415,6.846,6.85,10.06,0.67,5.31,252137.66,298061.32,231494.37,237588.8
2015-07-13,8.06,8.06,7.5,8.143,11.067,6.964,7.8,9.96,0.73,8.59,261476.93,297022.04,240008.72,384641.97
2015-07-14,8.31,8.78,7.83,7.836,10.715,7.282,8.18,3.1,0.25,11.34,281547.18,302726.29,309303.66,508029.12
2015-07-15,7.46,8.07,7.46,7.558,10.292,7.564,8.0,-10.01,-0.83,6.48,284733.87,295208.63,362499.18,290080.62
